scientific_name	clade	flight_status	habitat	diet	genome_available	annotation_quality	inclusion_role	notes
Kogia breviceps	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Cetacea; family=Kogiidae
Lipotes vexillifer	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Cetacea; family=Lipotidae
Delphinapterus leucas	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Cetacea; family=Monodontidae
Neophocaena phocaenoides	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Cetacea; family=Phocoenidae
Physeter macrocephalus	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Cetacea; family=Physeteridae
Chaetophractus vellerosus	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Cingulata; family=Dasypodidae
Antechinomys laniger	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Dasyuromorphia; family=Dasyuridae
Myrmecobius fasciatus	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Dasyuromorphia; family=Myrmecobiidae
Caluromys derbianus	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Didelphimorphia; family=Didelphidae
Acrobates pygmaeus	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Diprotodontia; family=Acrobatidae
Burramys parvus	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Diprotodontia; family=Burramyidae
Dendrolagus dorianus	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Diprotodontia; family=Macropodidae
Dactylopsila trivirgata	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Diprotodontia; family=Petauridae
Phalanger gymnotis	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Diprotodontia; family=Phalangeridae
Phascolarctos cinereus	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Diprotodontia; family=Phascolarctidae
Aepyprymnus rufescens	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Diprotodontia; family=Potoroidae
Hemibelideus lemuroides	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Diprotodontia; family=Pseudocheiridae
Lasiorhinus krefftii	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Diprotodontia; family=Vombatidae
Erinaceus amurensis	Mammalia_nonChiroptera	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Erinaceomorpha; family=Erinaceidae
Alligator sinensis	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Crocodilia; family=Alligatoridae
Crocodylus acutus	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Crocodilia; family=Crocodylidae
Gavialis gangeticus	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Crocodilia; family=Gavialidae
Sphenodon punctatus	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Rhynchocephalia; family=Sphenodontidae
Acrochordus arafurae	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Acrochordidae
Acanthocercus atricollis	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Agamidae
Amphisbaena alba	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Amphisbaenidae
Anguis fragilis	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Anguidae
Blanus cinereus	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Blanidae
Boa constrictor	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Boidae
Candoia aspera	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Candoiidae
Underwoodisaurus milii	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Carphodactylidae
Chamaeleo chamaeleon	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Chamaeleonidae
Charina bottae	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Charinidae
Arizona elegans	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Colubridae
Cordylus cordylus	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Cordylidae
Basiliscus plumifrons	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Corytophanidae
Anolis cuvieri	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Dactyloidae
Hoplodactylus duvaucelii	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Diplodactylidae
Acanthophis antarcticus	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Elapidae
Eryx jaculus	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Erycidae
Coleonyx variegatus	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Eublepharidae
Chondrodactylus angulifer	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Gekkonidae
Heloderma horridum	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Helodermatidae
Erpeton tentaculatum	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Homalopsidae
Amblyrhynchus cristatus	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Iguanidae
Gallotia galloti	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Lacertidae
Atractaspis bibronii	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Lamprophiidae
Leiocephalus carinatus	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Leiocephalidae
Oplurus cuvieri	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Opluridae
Uma notata	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Phrynosomatidae
Ptyodactylus hasselquistii	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Phyllodactylidae
Antaresia childreni	Reptilia	non_flying	unknown	unknown	unknown	unknown	auto_anage_candidate	auto-selected from AnAge; order=Squamata; family=Pythonidae
